Symbol,Name,Price,Exchange
"CSRA","CSRA Inc.",41.23,"New York Stock Exchange"
"IMAX","Imax Corp",16.01,"New York Stock Exchange"
"FNB","F.N.B. Corp",7.68,"New York Stock Exchange"
"ADSK","Autodesk Inc",233.88,"Nasdaq Global Select"
"HD","Home Depot Inc",269.66,"New York Stock Exchange"
"BIDU","Baidu Inc",122.87,"Nasdaq Global Select"
"AR","Antero Resources Corp",2.94,"New York Stock Exchange"
"ARNC","Arconic Corp (PITTSBURGH)",21.46,"New York Stock Exchange"
"VOYA","Voya Financial Inc",50.78,"New York Stock Exchange"
"SPXU","ProShares UltraPro Short S&P500",8.41,"NYSE Arca"
"MLCO","Melco Resorts & Entertainment Ltd",19.04,"Nasdaq Global Select"
"SJNK","SPDR Bloomberg Barclays Short Term High Yield Bond",25.98,"NYSE Arca"
"CWB","SPDR Bloomberg Barclays Convertible Securities",67.98,"NYSE Arca"
"SM","SM Energy Co",2.38,"New York Stock Exchange"
"NTRS","Northern Trust Corp",84.45,"Nasdaq Global Select"
"DHI","D.R. Horton Inc",68.23,"New York Stock Exchange"
"UAL","United Airlines Holdings Inc",38.21,"New York Stock Exchange"
"HRB","H & R Block Inc",15.15,"New York Stock Exchange"
"BTU","Peabody Energy Corp",2.7,"New York Stock Exchange"
"JBGS","JBG SMITH Properties",27.8,"New York Stock Exchange"
"IPG","Interpublic Group of Companies Inc",17.84,"New York Stock Exchange"
"DE","Deere & Co",211.34,"New York Stock Exchange"
"KHC","Kraft Heinz Co",33.47,"Nasdaq Global Select"
"COG","Cabot Oil & Gas Corp",18.33,"New York Stock Exchange"
"IBM","International Business Machines Corp",122.3,"New York Stock Exchange"
"WTW","Weight Watchers International Inc",19.04,"New York Stock Exchange"
"NYT","New York Times Co",43.33,"New York Stock Exchange"
"DBJP","Xtrackers MSCI Japan Hedged Equity",40.35,"NYSE Arca"
"AAL","American Airlines Group Inc",13.61,"Nasdaq Global Select"
"OLN","Olin Corp",12.09,"New York Stock Exchange"
"JCI","Johnson Controls International PLC",41.31,"New York Stock Exchange"
"VICI","VICI Properties Inc",22.88,"New York Stock Exchange"
"VST","Vistra Corp",18.23,"New York Stock Exchange"
"NWL","Newell Brands Inc",16.32,"New York Stock Exchange"
"EPD","Enterprise Products Partners LP",17.26,"New York Stock Exchange"
"KMB","Kimberly-Clark Corp",152.23,"New York Stock Exchange"
"AEP","American Electric Power Company Inc",79.05,"New York Stock Exchange"
"IT","Gartner Inc",131.18,"New York Stock Exchange"
"CAT","Caterpillar Inc",148.18,"New York Stock Exchange"
"AU","AngloGold Ashanti Limited",29.05,"New York Stock Exchange"
"MYL","Mylan NV",15.81,"Nasdaq Global Select"
"XRAY","DENTSPLY SIRONA Inc",44.76,"Nasdaq Global Select"
"KKR","KKR & Co Inc",35.7,"New York Stock Exchange"
"IEUR","iShares Core MSCI Europe",45.75,"NYSE Arca"
"LQD","iShares iBoxx $ Investment Grade Corporate Bond",134.95,"NYSE Arca"
"CMC","Commercial Metals Co",20.75,"New York Stock Exchange"
"JCP","J.C. Penney Company Inc. Holding Company",0.1819,"New York Stock Exchange"
"XBI","SPDR Series Trust S&P Biotech",105.29,"NYSE Arca"
"SYMC","Symantec Corporation",19.98,"Nasdaq Global Select"
"TMUS","T-Mobile US Inc",114.29,"Nasdaq Global Select"
"EWW","iShares Inc MSCI Mexico",33.18,"NYSE Arca"
"RMP","Rice Midstream Partners LP representing limited partner interests",18.14,"New York Stock Exchange"
"NRG","NRG Energy Inc",33.38,"New York Stock Exchange"
"CPB","Campbell Soup Co",47.58,"New York Stock Exchange"
"ATHM","Autohome Inc",85.77,"New York Stock Exchange"
"WRB","W. R. Berkley Corp",62.94,"New York Stock Exchange"
"MOMO","Momo Inc",15.5,"Nasdaq Global Select"
"TGT","Target Corp",147.23,"New York Stock Exchange"
"TV","Grupo Televisa S.A.",6.71,"New York Stock Exchange"
"GLW","Corning Inc",32.05,"New York Stock Exchange"
"MAS","Masco Corp",56.42,"New York Stock Exchange"
"DOV","Dover Corp",109.62,"New York Stock Exchange"
"HRL","Hormel Foods Corp",51.08,"New York Stock Exchange"
"S","Sprint Corporation",8.62,"New York Stock Exchange"
"TECK","Teck Resources Ltd",11.77,"New York Stock Exchange"
"AES","AES Corp",17.57,"New York Stock Exchange"
"PPL","PPL Corp",28.29,"New York Stock Exchange"
"IXUS","iShares Core MSCI Total International Stock ETF",58.96,"NASDAQ Global Market"
"SEE","Sealed Air Corp",39.78,"New York Stock Exchange"
"NLY","Annaly Capital Management Inc",7.32,"New York Stock Exchange"
"FRC","First Republic Bank",114.53,"New York Stock Exchange"
"EWT","iShares Inc MSCI Taiwan",44.23,"NYSE Arca"
"STX","Seagate Technology PLC",47.01,"Nasdaq Global Select"
"ADBE","Adobe Inc",491.94,"Nasdaq Global Select"
"K","Kellogg Co",69.22,"New York Stock Exchange"
"RTN","Raytheon Company",116.96,"New York Stock Exchange"
"M","Macy's Inc",7.65,"New York Stock Exchange"
"TSLA","Tesla Inc",418.32,"Nasdaq Global Select"
"CY","Cypress Semiconductor Corporation",23.82,"Nasdaq Global Select"
"KBE","SPDR S&P Bank",32.88,"NYSE Arca"
"TSM","Taiwan Semiconductor Manufacturing Company Ltd.",78.91,"New York Stock Exchange"
"STL","Sterling Bancorp",12.18,"New York Stock Exchange"
"NYCB","New York Community Bancorp Inc",9.24,"New York Stock Exchange"
"TRQ","Turquoise Hill Resources Ltd",1.14,"New York Stock Exchange"
"NBL","Noble Energy Inc",9.7,"New York Stock Exchange"
"FDC","First Data Corporation Class A",26.5,"New York Stock Exchange"
"BAH","Booz Allen Hamilton Holding Corp",84.98,"New York Stock Exchange"
"BUFF","Blue Buffalo Pet Products Inc.",31.65,"Nasdaq Global Select"
"ARI","Apollo Commercial Real Estate Finance Inc",9.12,"New York Stock Exchange"
"MET","MetLife Inc",39.15,"New York Stock Exchange"
"AFL","Aflac Inc",37.86,"New York Stock Exchange"
"TPR","Tapestry Inc",14.56,"New York Stock Exchange"
"WPM","Wheaton Precious Metals Corp",51.64,"New York Stock Exchange"
"LNT","Alliant Energy Corp",53.29,"New York Stock Exchange"
"BTG","B2Gold Corp",6.45,"NYSE American"
"UTX","United Technologies Corporation",86.01,"New York Stock Exchange"
"WLL","Whiting Petroleum Corp",22.78,"New York Stock Exchange"
"LKQ","LKQ Corp",31.8,"Nasdaq Global Select"
"PCG","PG&E Corp",9.19,"New York Stock Exchange"
"CRZO","Carrizo Oil & Gas Inc.",7.83,"Nasdaq Global Select"
"CENX","Century Aluminum Co",9.82,"Nasdaq Global Select"
"PGNX","Progenics Pharmaceuticals Inc.",4.1,"Nasdaq Global Select"
"CLR","Continental Resources Inc",15.67,"New York Stock Exchange"
"FCAU","Fiat Chrysler Automobiles NV",11.29,"New York Stock Exchange"
"IMGN","ImmunoGen Inc",3.525,"Nasdaq Global Select"
"HL","Hecla Mining Co",5.58,"New York Stock Exchange"
"LULU","Lululemon Athletica Inc",361.41,"Nasdaq Global Select"
"UAA","Under Armour Inc",10.43,"New York Stock Exchange"
"CAG","Conagra Brands Inc",37.13,"New York Stock Exchange"
"STLD","Steel Dynamics Inc",30.66,"Nasdaq Global Select"
"PEP","PepsiCo Inc",138.76,"Nasdaq Global Select"
"SO","Southern Co",52.29,"New York Stock Exchange"
"ETE","Energy Transfer Equity L.P. representing Limited Partnership interests",16.81,"New York Stock Exchange"
"COST","Costco Wholesale Corp",346.57,"Nasdaq Global Select"
"GKOS","Glaukos Corp",48.33,"New York Stock Exchange"
"CCI","Crown Castle International Corp",160.59,"New York Stock Exchange"
"ZTO","ZTO Express (Cayman) Inc",33.27,"New York Stock Exchange"
"VGK","Vanguard FTSEEuropean",53.99,"NYSE Arca"
"GS","Goldman Sachs Group Inc",210.94,"New York Stock Exchange"
"IJR","iShares Core S&P Small-Cap",73.41,"NYSE Arca"
"ZAYO","Zayo Group Holdings Inc.",34.99,"New York Stock Exchange"
"ADT","ADT Inc",10.29,"New York Stock Exchange"
"ALTR","Altair Engineering Inc",39.93,"Nasdaq Global Select"
"GGP","GGP Inc.",22.07,"New York Stock Exchange"
"EMR","Emerson Electric Co",69.54,"New York Stock Exchange"
"CNP","CenterPoint Energy Inc",19.87,"New York Stock Exchange"
"ALXN","Alexion Pharmaceuticals Inc",112.97,"Nasdaq Global Select"
"COTY","Coty Inc",3.87,"New York Stock Exchange"
"MA","Mastercard Inc",335.01,"New York Stock Exchange"
"AWI","Armstrong World Industries Inc",71.4,"New York Stock Exchange"
"IYR","iShares U.S. Real Estate",82.42,"NYSE Arca"
"ADP","Automatic Data Processing Inc",138.53,"Nasdaq Global Select"
"TZA","Direxion Small Cap Bear 3X Shares",16.63,"NYSE Arca"
"MULE","MuleSoft Inc. Class A",44.72,"New York Stock Exchange"
"BBVA","Banco Bilbao Vizcaya Argentaria S.A.",3.04,"New York Stock Exchange"
"MNST","Monster Beverage Corp",82.27,"Nasdaq Global Select"
"FEZ","SPDR DJ Euro STOXX 50 Etf",38.05,"NYSE Arca"
"AER","AerCap Holdings NV",29.87,"New York Stock Exchange"
"GTN","Gray Television Inc",14.57,"New York Stock Exchange"
"EWY","iShares Inc MSCI South Korea",63.74,"NYSE Arca"
"CDE","Coeur Mining Inc",7.7,"New York Stock Exchange"
"NCR","NCR Corp",20.26,"New York Stock Exchange"
"AMT","American Tower Corp",249.98,"New York Stock Exchange"
"PSTG","Pure Storage Inc",14.72,"New York Stock Exchange"
"VRX","Valeant Pharmaceuticals International Inc.",23.4,"New York Stock Exchange"
"SJM","J M Smucker Co",117.56,"New York Stock Exchange"
"ETN","Eaton Corporation PLC",102.58,"New York Stock Exchange"
